id,name,cost,area,numberOfBedRooms,numberOfToilets,streetNumber,city,district,ward,lanlordAccountId,createAt,updatedAt,type
156005529,CĂN HỘ BAN CÔNG FULL NỘI THẤT MỚI 100%✨NGAY HOÀNG VĂN THỤ - TIỆN ĐI Q3,5000000,35.0,1.0,1.0,Đường Hoàng Văn Thụ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 4,25139778,2023-08-11,,can_ho
156343299,🌺 cho thuê gấp căn hộ 1pn trống - Cc BellezaQ 7- Dt 46m2 - Giá 6tr,6000000,46.0,1.0,1.0,"Đường Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Tp Hồ Chí Minh,Quận 7,Phường Phú Mỹ,11663913,2022-03-29,,can_ho
146302438,Sài Gòn Mia 2pn2wc full nội thất đẹp 14tr5/th,14500000,72.0,2.0,2.0,265-197 ,Tp Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Hưng,23139500,2022-02-24,,can_ho
156301415,🥳 NHÀ MỚI SETUP 1 PHÒNG NGỦ - 2 PHÒNG NGỦ - STUDIO BAN CÔNG,6500000,30.0,1.0,1.0,Đường Yên Thế,Tp Hồ Chí Minh,Quận Tân Bình,Phường 2,16077092,2022-12-26,,can_ho
156343285,Căn hộ studio 35m2 quận Phú Nhuận,7000000,30.0,1.0,1.0,Trần Khắc Chân,Tp Hồ Chí Minh,Quận Phú Nhuận,Phường 8,26811912,2024-01-18,,can_ho
155837537,"CHDV DUPLEX STUDIO FULL NỘI THẤT KẾ PHÚ MỸ HƯNG,COOP MART",4500000,35.0,1.0,1.0,Huỳnh Tấn Phát,Tp Hồ Chí Minh,Quận 7,Phường Phú Mỹ,25149178,2023-06-03,,can_ho
155816594,"CHDV FULL NỘI THẤT NGAY PHÚ MỸ HƯNG KẾ BÊN CRESCENT MALL, SC VIVO",5200000,40.0,1.0,1.0,Đường Phan Khiêm Ích,Tp Hồ Chí Minh,Quận 7,Phường Tân Phong,25149178,2023-04-03,,can_ho
156062883,"🌈🍏 - Phòng penhouse 2PN 🍏🌈 2PN , Ngay Lê Văn Sỹ , Q.3 👉 15tr☘️",15000000,80.0,2.0,1.0,Đường Lê Văn Sỹ,Tp Hồ Chí Minh,Quận 3,Phường 12,24910450,2022-07-17,,can_ho
156343249,✨Căn Hộ Studio Ban Công 50m2 ngay Nguyễn Văn Trỗi - gần Cầu Công Lý,11500000,50.0,1.0,1.0,Đường Nguyễn Văn Trỗi,Tp Hồ Chí Minh,Quận Phú Nhuận,Phường 17,23572121,2022-05-04,,can_ho
156343226,Cho thuê căn hộ nhiều tiện ích Vinhome quận 9 giá tốt,5500000,67.0,2.0,2.0,Nguyễn Xiển,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),15860116,2023-12-31,,can_ho
